num_of_intervals,total_time,avg_infidelity
1,1.0,0.31792709559216203
1,2.0,0.22101689709412964
1,3.0,0.4150956551886834
1,4.0,0.3169696520812101
1,5.0,0.4524106822774534
1,6.0,0.5188977746511758
1,7.0,0.23702059658951014
1,8.0,0.3499157792311912
1,9.0,0.3743240426811296
1,10.0,0.34179856588586144
2,1.0,0.3063361258081344
2,2.0,0.11459159031467547
2,3.0,0.14013027912272125
2,4.0,0.07165237028506566
2,5.0,0.1419416702694789
2,6.0,0.2735262037836822
2,7.0,0.12237628092110708
2,8.0,0.0573977173831961
2,9.0,0.17266965557471115
2,10.0,0.2649446364012611
3,1.0,0.3023110459891216
3,2.0,0.06703518497900252
3,3.0,0.021000320264541572
3,4.0,0.0036415586307217973
3,5.0,0.008742701843075573
3,6.0,0.005274718086736407
3,7.0,0.02309572440699481
3,8.0,0.2530351862792144
3,9.0,0.2523119786494925
3,10.0,0.07119326468370546
4,1.0,0.30248577522966846
4,2.0,0.062079163101327994
4,3.0,0.016574084807875034
4,4.0,0.0015410083535163377
4,5.0,3.737840873596632e-05
4,6.0,1.0719214116328146e-07
4,7.0,1.577249182216356e-05
4,8.0,0.0002566387105094048
4,9.0,0.004007171831829859
4,10.0,0.027777687455034394
5,1.0,0.31366652852167365
5,2.0,0.062298552001589846
5,3.0,0.0032926154704883137
5,4.0,7.043032823617068e-12
5,5.0,1.2996059783887404e-10
5,6.0,8.014662267186168e-10
5,7.0,1.1869735194736108e-09
5,8.0,2.3283131178608585e-07
5,9.0,4.868034653604525e-06
5,10.0,7.851381521750689e-05
6,1.0,0.3109523789069839
6,2.0,0.07693559391796434
6,3.0,0.0031099295114426218
6,4.0,8.919420757536045e-12
6,5.0,6.199707414111799e-12
6,6.0,9.624301355870557e-11
6,7.0,3.7987724077481744e-10
6,8.0,5.757050391963503e-11
6,9.0,2.3217239908390752e-08
6,10.0,4.6394440378350055e-07
7,1.0,0.3101701465781306
7,2.0,0.07385343869270078
7,3.0,0.004391473911939281
7,4.0,1.908917468540494e-12
7,5.0,1.3995471448424723e-12
7,6.0,8.384626326574107e-12
7,7.0,3.396571912617219e-11
7,8.0,1.1066914051838239e-10
7,9.0,1.0972167618916728e-10
7,10.0,1.314398589968846e-09
8,1.0,0.3080707684027818
8,2.0,0.07892430192797695
8,3.0,0.0019569063222180105
8,4.0,3.403721748895805e-12
8,5.0,8.943956686380261e-13
8,6.0,2.036593116372387e-12
8,7.0,7.609579633083285e-12
8,8.0,5.0142334728775495e-11
8,9.0,1.3655099273535143e-10
8,10.0,1.752091804974043e-10
9,1.0,0.30715007450641296
9,2.0,0.07484712586340891
9,3.0,0.002955860320025705
9,4.0,5.92348392558506e-12
9,5.0,3.9823699893304365e-13
9,6.0,5.35238520171788e-13
9,7.0,3.619660127185398e-12
9,8.0,1.1464051929976904e-11
9,9.0,1.86222148812476e-11
9,10.0,6.551970077595115e-11
10,1.0,0.31742026436404225
10,2.0,0.0851617081073146
10,3.0,0.003766514365749929
10,4.0,5.077938070030541e-12
10,5.0,1.0722533971829762e-12
10,6.0,5.924150059399835e-13
10,7.0,6.503686478254167e-13
10,8.0,1.4420686866856158e-12
10,9.0,8.18611844977113e-12
10,10.0,3.549271987424163e-11
