theta_x,theta_y
0.4944519457227336,0.4944519457227336
-0.16494632516140867,-0.16494632516140867
-3.141592653589793,-3.141592653589793
-3.141592653589793,-3.141592653589793
1.2661386194395547,1.2661386194395547
1.9007520351253255,1.9007520351253255
1.4545957094518975,1.4545957094518975
2.1519163560968657,2.1519163560968657
-0.00967567035771505,-0.00967567035771505
2.5457161703043,2.5457161703043
1.7803658891734475,1.7803658891734475
-2.8880905835622146,-2.8880905835622146
1.5582940979648754,1.5582940979648754
-3.0727738355258865,-3.0727738355258865
1.895803082990665,1.895803082990665
-1.7542615628803921,-1.7542615628803921
1.5750075208387577,1.5750075208387577
0.34943317124999973,0.34943317124999973
-1.1904419049620008,-1.1904419049620008
-0.4827698163196433,-0.4827698163196433
